x_RIS_m,y_RIS_m,z_RIS_m,H_RIS,H_total,Pr_W,SNR_linear,SNR_dB,data_rate_bps,data_rate_Mbps
1.0333333333333332,0.0,2.263333333333333,5.0706264715493186e-08,5.0706264715493186e-08,5.0706264715493186e-08,0.07222290915446054,-11.413250220808447,2012097.3043655166,2.0120973043655166
1.0333333333333332,0.0,2.34,4.5079135195159405e-08,4.5079135195159405e-08,4.5079135195159405e-08,0.05708248759711177,-12.43497109030442,1601759.186332726,1.6017591863327258
1.0333333333333332,0.0,2.4166666666666665,3.930667634829168e-08,3.930667634829168e-08,3.930667634829168e-08,0.043399465887881315,-13.625156152656741,1225831.9993703244,1.2258319993703244
1.0333333333333332,0.0,2.493333333333333,3.349996029737575e-08,3.349996029737575e-08,3.349996029737575e-08,0.03152392777851436,-15.013596761361253,895545.7427045567,0.8955457427045567
1.0333333333333332,0.0,2.57,2.775698069656667e-08,2.775698069656667e-08,2.775698069656667e-08,0.021641939864873158,-16.64703814043675,617793.1213331667,0.6177931213331668
1.0333333333333332,0.0,2.6466666666666665,2.2162322839534714e-08,2.2162322839534714e-08,2.2162322839534714e-08,0.013796924671853276,-18.602177068513143,395373.8533316952,0.39537385333169517
1.0333333333333332,0.0,2.723333333333333,1.6787239199932926e-08,1.6787239199932926e-08,1.6787239199932926e-08,0.00791608222475743,-21.014897034028614,227510.53870070406,0.22751053870070406
1.0333333333333332,0.0,2.8,1.1690032190553403e-08,1.1690032190553403e-08,1.1690032190553403e-08,0.0038386909899883514,-24.158168466594354,110549.16254840652,0.11054916254840652
1.1666666666666665,0.0,0.5,0.0,0.0,0.0,0.0,-inf,0.0,0.0
1.1666666666666665,0.0,0.5766666666666667,0.0,0.0,0.0,0.0,-inf,0.0,0.0
1.1666666666666665,0.0,0.6533333333333333,0.0,0.0,0.0,0.0,-inf,0.0,0.0
1.1666666666666665,0.0,0.73,0.0,0.0,0.0,0.0,-inf,0.0,0.0
1.1666666666666665,0.0,0.8066666666666666,0.0,0.0,0.0,0.0,-inf,0.0,0.0
1.1666666666666665,0.0,0.8833333333333333,0.0,0.0,0.0,0.0,-inf,0.0,0.0
1.1666666666666665,0.0,0.96,0.0,0.0,0.0,0.0,-inf,0.0,0.0
1.1666666666666665,0.0,1.0366666666666666,0.0,0.0,0.0,0.0,-inf,0.0,0.0
